Neighbourhood.Name,Neighbourhood_Number,Gini_i_HH_tIncome,Avg_HH_size,Avg_tIncome_HH_in_2020,Race_Total,Prop_Black,Prop_Arab,Prop_Latin_Amrican,Prop_East_SouthEast_Asian,Prop_West_Asian,Prop_multi_vis_minority,Prop_non_vis_minority,Total Population,Unemployment_rate,Prop_no_dip,Prop_HS_or_equi,Prop_PS_non_Bach,Prop_PS_Bach,Prop_Graduate,TOTAL_CRIME_RATE_2015,TOTAL_CRIME_RATE_2016,TOTAL_CRIME_RATE_2017
West.Humber.Clairville,1,0.3,3.1,104500,33300,0.1839339339,0.01381381381,0.04804804805,0.0984984985,0.01246246246,0.02807807808,0.1581081081,29000,14.3,0.1829310345,0.2913793103,0.264137931,0.1827586207,0.07879310345,2370.14233,2656.74044,2510.11449
Mount.Olive.Silverstone.Jamestown,2,0.3,3.2,86200,31345,0.2652735684,0.06332748445,0.04306907003,0.07273887382,0.05854203222,0.02775562291,0.10751316,25655,17.7,0.2779185344,0.3030598324,0.2137984798,0.1329175599,0.07230559345,1353.23982,1315.85332,1298.16828
Thistletown.Beaumond.Heights,3,0.3,3,101300,9850,0.1614213198,0.02944162437,0.0654822335,0.07005076142,0.03756345178,0.02436548223,0.3197969543,8350,16.6,0.2223550508,0.2839210998,0.2558278542,0.1595935445,0.07830245069,1145.90488,1114.01038,1040.45023
Rexdale.Kipling,4,0.3,2.6,90000,10375,0.1802409639,0.006265060241,0.06987951807,0.1045783133,0.02120481928,0.02457831325,0.4236144578,8805,13.9,0.2123793299,0.308915389,0.2634866553,0.1612720045,0.05394662124,955.919422,1341.70158,1400.5649
Elms.Old.Rexdale,5,0.3,2.9,94600,9355,0.3025120257,0.01603420631,0.09513629075,0.1437733832,0.01496525922,0.02618920363,0.3089257082,7745,18.5,0.226597805,0.3395739187,0.2633957392,0.1155584248,0.05487411233,1214.06102,1267.4853,1127.52821
Kingsview.Village.The.Westway,6,0.3,2.8,99400,22010,0.266242617,0.01840072694,0.05202180827,0.08768741481,0.02248977737,0.02816901408,0.3716492503,18090,18.1,0.2119369992,0.2964907433,0.258634982,0.1624758221,0.07046145344,1085.81886,1063.137217,958.31929
Willowridge.Martingrove.Richview,7,0.3,2.6,113400,22445,0.1465805302,0.01158387169,0.0490086879,0.09088883939,0.01358877256,0.01537090666,0.5642682112,18945,14.3,0.1667986276,0.2604908947,0.2517814727,0.2106096595,0.1103193455,921.524241,909.304757,885.66425
Humber.Heights.Westmount,8,0.4,2.4,123100,10005,0.1124437781,0.007496251874,0.05147426287,0.06846576712,0.01099450275,0.01699150425,0.684157921,8635,12.9,0.1691772885,0.2578215527,0.2641946698,0.1935110081,0.1152954809,955.49497,829.457537,1000.912589
Edenbridge.Humber.Valley,9,0.5,2.4,197600,15190,0.06583278473,0.002304147465,0.06155365372,0.07077024358,0.004279131007,0.007570770244,0.7504937459,13120,12.1,0.1246664125,0.2348455966,0.2207396111,0.256957682,0.1627906977,656.56199,737.61495,659.36835
Princess.Rosethorn,10,0.4,2.9,235600,11170,0.02999104745,0.004028648165,0.0188003581,0.1065353626,0.008504923903,0.01566696509,0.7641002686,9420,11.4,0.08912466844,0.2068965517,0.1957559682,0.324668435,0.1835543767,915.9231,918.259443,731.14545
